timestamp,team,agent_type,agent_id,x,y,z,yaw,alive,event,target
0.0,red,artillery,red_art_1,250.0,162.49,1850.0,0.0,alive,,
0.0,red,artillery,red_art_2,250.0,169.12,2125.0,0.0,alive,,
0.0,red,artillery,red_art_3,375.0,189.66,2100.0,0.0,alive,,
0.0,red,artillery,red_art_4,750.0,186.36,2200.0,0.0,alive,,
0.0,red,artillery,red_art_5,375.0,156.47,2200.0,0.0,alive,,
0.0,red,artillery,red_art_6,500.0,189.92,2125.0,0.0,alive,,
0.0,red,drone,red_drn_1,2250.0,200.0,1750.0,0.0,alive,,
0.0,red,tank,red_tnk_1,2000.0,194.05,1750.0,0.0,alive,,
0.0,red,tank,red_tnk_2,1750.0,176.66,1750.0,0.0,alive,,
0.0,red,tank,red_tnk_3,1500.0,164.18,1350.0,0.0,alive,,
0.0,red,tank,red_tnk_4,1450.0,153.21,1300.0,0.0,alive,,
0.0,red,antitank,red_at_1,1750.0,151.88,1250.0,0.0,alive,,
0.0,red,antitank,red_at_2,1750.0,151.88,1250.0,0.0,alive,,
0.0,red,antitank,red_at_3,2000.0,179.6,1500.0,0.0,alive,,
0.0,red,antitank,red_at_4,2000.0,179.6,1500.0,0.0,alive,,
0.0,red,antitank,red_at_5,2375.0,186.44,1100.0,0.0,alive,,
0.0,red,antitank,red_at_6,2575.0,195.09,1250.0,0.0,alive,,
0.0,red,infantry,red_inf_1,1625.0,168.69,1375.0,0.0,alive,,
0.0,red,infantry,red_inf_2,1500.0,154.14,1200.0,0.0,alive,,
0.0,red,infantry,red_inf_3,1550.0,140.55,1250.0,0.0,alive,,
0.0,red,infantry,red_inf_4,1750.0,176.71,1500.0,0.0,alive,,
0.0,red,infantry,red_inf_5,1800.0,192.45,1650.0,0.0,alive,,
0.0,red,infantry,red_inf_6,1850.0,188.64,1600.0,0.0,alive,,
0.0,red,infantry,red_inf_7,1775.0,169.63,1400.0,0.0,alive,,
0.0,red,infantry,red_inf_8,1500.0,175.1,1500.0,0.0,alive,,
0.0,red,infantry,red_inf_9,2000.0,179.6,1500.0,0.0,alive,,
0.0,red,infantry,red_inf_10,1900.0,184.3,1500.0,0.0,alive,,
0.0,red,infantry,red_inf_11,1950.0,182.77,1500.0,0.0,alive,,
0.0,red,infantry,red_inf_12,2075.0,194.52,1575.0,0.0,alive,,
